"類型
Type","觀光遊憩區
Scenic Spots","縣市
City/Country","113年
1月","113年
2月","113年
3月","113年
4月","113年
5月","113年
6月","113年
7月","113年
8月","113年
9月","113年
10月","113年
11月","113年
12月","113年
1月-12月",資料來源
"國家級風景特定區
National Scenic Areas","    宜蘭濱海遊憩區
    Yilan Ocean Recreation Area","宜蘭縣
Yilan County","16,798 ","24,225 ","20,393 ","18,472 ","16,769 ","28,517 ","21,899 ","24,291 ","19,775 ","28,965 ","24,157 ","25,251 ","269,512 ",東北角及宜蘭海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","北海岸及觀音山國家風景區
North Coast & Guanyinshan National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    野柳地質公園
    Yehliu Geopark ","新北市
New Taipei City","141,837 ","152,216 ","158,502 ","140,100 ","121,416 ","101,759 ","84,241 ","102,547 ","95,934 ","123,145 ","154,903 ","180,506 ","1,557,106 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    白沙灣
    Baishawan","新北市
New Taipei City","32,831 ","97,013 ","35,896 ","57,691 ","98,404 ","93,244 ","109,017 ","77,840 ","76,048 ","44,504 ","34,152 ","20,719 ","777,359 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    翡翠灣濱海遊憩區
    Green Bay","新北市
New Taipei City","1,981 ","3,051 ","3,083 ","3,234 ","2,592 ","4,620 ","5,440 ","5,065 ","3,590 ","3,585 ","3,803 ","3,895 ","43,939 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    觀音山
    Guanyinshan","新北市
New Taipei City","95,077 ","112,416 ","90,249 ","92,290 ","111,487 ","108,571 ","114,231 ","111,821 ","105,821 ","105,541 ","121,339 ","129,981 ","1,298,824 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    野柳海洋世界
    Ocean World","新北市
New Taipei City","9,847 ","15,236 ","12,448 ","19,985 ","17,132 ","17,464 ","26,088 ","28,089 ","14,890 ","14,900 ","15,512 ","11,588 ","203,179 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    金山遊憩區
    JinShan Tourist Site","新北市
New Taipei City","37,801 ","56,719 ","30,303 ","32,811 ","36,842 ","17,091 ","18,715 ","22,856 ","21,761 ","14,723 ","21,691 ","19,554 ","330,867 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    三芝遊憩區
    SanZhi  tourist site","新北市
New Taipei City","26,109 ","38,451 ","30,809 ","114,737 ","36,705 ","38,432 ","24,520 ","25,186 ","21,557 ","19,998 ","17,299 ","15,913 ","409,716 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    情人湖及湖海灣
    Lovers Lake & Huhai Bay","基隆市
Keelung City","55,383 ","65,729 ","47,830 ","45,619 ","50,150 ","38,481 ","39,991 ","41,040 ","14,890 ","40,318 ","35,965 ","33,236 ","508,632 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    和平島地質公園
    Hepingdao Park","基隆市
Keelung City","21,580 ","28,846 ","29,179 ","37,935 ","45,920 ","46,308 ","44,914 ","42,859 ","37,023 ","31,910 ","23,191 ","21,782 ","411,447 ",北海岸及觀音山國家風景區管理處
"國家級風景特定區
National Scenic Areas","東部海岸國家風景區
East Coast National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    秀姑巒溪遊客中心園區
    Xiuguluan river visitor center park","花蓮縣
Hualien County","24,545 ","34,932 ","26,884 ","16,571 ","24,357 ","26,361 ","26,988 ","34,896 ","26,132 ","27,408 ","23,669 ","18,622 ","311,365 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    石梯坪遊憩區
    Shitiping Recreation Area","花蓮縣
Hualien County","45,169 ","63,128 ","48,683 ","23,814 ","30,410 ","35,416 ","39,348 ","46,048 ","37,210 ","40,339 ","38,886 ","29,392 ","477,843 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    花蓮遊客中心園區
    Hualien visitor center park","花蓮縣
Hualien County","3,907 ","6,186 ","5,610 ",346 ,0 ,0 ,0 ,"5,362 ","3,259 ","5,795 ","6,976 ","1,055 ","38,496 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    東部海岸富岡地質公園及加路蘭休憩區
    East Coast Fugang Geopark And Jialulan Recreation Area","臺東縣
Taitung County","250,299 ","325,808 ","295,242 ","227,590 ","288,382 ","279,951 ","313,015 ","339,787 ","252,242 ","284,155 ","262,223 ","190,062 ","3,308,756 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    三仙台遊憩區及周邊地區
    Sanxiantai recreation area and surrounding areas","臺東縣
Taitung County","125,682 ","217,132 ","155,958 ","107,730 ","116,275 ","125,704 ","146,359 ","162,793 ","124,295 ","139,888 ","132,450 ","91,003 ","1,645,269 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    八仙洞遊憩區
    Baxian Caves Recreation Area","臺東縣
Taitung County","24,792 ","36,927 ","27,668 ","16,360 ","22,334 ","22,540 ","25,166 ","28,766 ","22,165 ","25,623 ","24,973 ","14,827 ","292,141 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    綠島遊憩區
    Lyudao（Green Island）Recreation Area","臺東縣
Taitung County","6,080 ","9,623 ","11,879 ","27,941 ","32,058 ","39,747 ","37,916 ","33,838 ","25,387 ","17,763 ","5,744 ","5,050 ","253,026 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    都歷處本部
    East Coast National Scenic Area Administration Headquarters","臺東縣
Taitung County","19,423 ","25,514 ","23,745 ","21,184 ","18,941 ","25,607 ","31,154 ","36,601 ","33,415 ","25,338 ","26,471 ","15,689 ","303,082 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","    都蘭遊憩區及周邊地區
    Dulan Recreation Area and Surrounding Area","臺東縣
Taitung County","209,175 ","266,246 ","230,348 ","184,929 ","200,499 ","207,367 ","232,084 ","250,871 ","194,108 ","213,527 ","211,972 ","147,824 ","2,548,950 ",東部海岸國家風景區管理處
"國家級風景特定區
National Scenic Areas","花東縱谷國家風景區
East Rift Valley National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    鯉魚潭風景區
    Liyu Lake Scenic Area","花蓮縣
Hualien County","41,901 ","54,630 ","42,490 ","20,320 ","21,096 ","36,200 ","40,271 ","35,882 ","30,992 ","35,329 ","28,751 ","41,606 ","429,468 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    花蓮糖廠及周邊地區
    Hualien sugar factory and surrounding areas","花蓮縣
Hualien County","99,488 ","110,284 ","101,433 ","59,302 ","66,200 ","73,446 ","76,076 ","86,392 ","72,881 ","81,434 ","79,619 ","103,792 ","1,010,347 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    赤科山
    Chike Mountain","花蓮縣
Hualien County","2,276 ","2,108 ","2,283 ","1,628 ","1,308 ","1,725 ","2,006 ","20,199 ","29,059 ","2,155 ","1,470 ","1,920 ","68,137 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    六十石山
    Liushishi Mountain ","花蓮縣
Hualien County","5,336 ","5,859 ","5,740 ","4,170 ","3,670 ","4,175 ","5,303 ","19,894 ","25,900 ","5,888 ","3,721 ","5,188 ","94,844 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    舞鶴台地
    Wuhe plateau","花蓮縣
Hualien County","82,886 ","83,213 ","78,035 ","53,919 ","55,912 ","59,258 ","61,851 ","67,489 ","58,340 ","63,540 ","63,901 ","80,927 ","809,271 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    大農大富平地森林園區
    Da Nong Da Fu Forest Park","花蓮縣
Hualien County","125,158 ","121,767 ","120,666 ","74,542 ","80,929 ","85,947 ","88,903 ","97,994 ","88,229 ","90,087 ","90,963 ","120,412 ","1,185,597 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    鹿野高臺及周邊地區
    Luyeh high terrace and surrounding areas","臺東縣
Taitung County","125,601 ","125,435 ","117,725 ","84,897 ","86,501 ","96,844 ","170,764 ","162,419 ","90,639 ","102,230 ","94,941 ","122,111 ","1,380,107 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","    卑南初鹿地區
    Beinan Chulu Area","臺東縣
Taitung County","193,673 ","191,347 ","186,351 ","135,442 ","127,975 ","144,353 ","199,228 ","200,680 ","139,925 ","151,245 ","142,606 ","187,840 ","2,000,665 ",花東縱谷國家風景區管理處
"國家級風景特定區
National Scenic Areas","參山國家風景區
Tri-Mountain National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    獅頭山風景區(新竹地區)
    Lion’s Head Mountain Scenic Area-Hsinchu","新竹縣
Hsinchu County","107,696 ","161,325 ","169,717 ","118,853 ","99,738 ","93,845 ","91,415 ","82,241 ","94,351 ","96,581 ","97,269 ","94,462 ","1,307,493 ",參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    獅頭山風景區(苗栗地區)
    Lion’s Head Mountain Scenic Area-Miaoli","苗栗縣
Miaoli County","177,094 ","264,801 ","181,319 ","169,918 ","158,993 ","170,714 ","149,667 ","154,391 ","147,552 ","173,317 ","174,793 ","178,306 ","2,100,865 ",參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    梨山風景區(谷關地區)
    Lishan Scenic Area (Area – Guguan)","臺中市
Taichung City","110,227 ","117,172 ","90,387 ","49,300 ","53,544 ","59,379 ","63,997 ","67,152 ","65,783 ","73,671 ","81,158 ","99,092 ","930,862 ",參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    梨山風景區(梨山地區)
    Lishan Scenic Area (Area – Lishan)","臺中市
Taichung City","44,136 ","111,234 ","71,696 ","26,589 ","34,054 ","40,613 ","58,735 ","48,794 ","40,766 ","55,342 ","63,523 ","59,454 ","654,936 ",參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    谷關遊憩區
    Guguan Recreation Area","臺中市
Taichung City",0 ,,,,,,,,,,,,0 ,參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    八卦山風景區(彰化地區)
    Mt. Bagua Scenic Area-Changhua","彰化縣
Changhua County","624,062 ","835,024 ","679,005 ","450,818 ","484,839 ","445,605 ","405,439 ","448,549 ","442,710 ","477,692 ","487,833 ","455,877 ","6,237,453 ",參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    八卦山風景區(南投地區)
    Mt. Bagua Scenic Area-Nantou","南投縣
Nantou County","128,798 ","256,395 ","228,390 ","149,586 ","109,065 ","113,249 ","96,969 ","90,525 ","106,257 ","115,777 ","115,513 ","103,918 ","1,614,442 ",參山國家風景區管理處
"國家級風景特定區
National Scenic Areas","雲嘉南濱海國家風景區
Southwest Coast National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    布袋遊憩區
    Budai Recreation Area","嘉義縣
Chiayi County","469,532 ","594,534 ","368,164 ","327,543 ","433,344 ","387,707 ","350,627 ","304,656 ","306,481 ","259,656 ","255,229 ","227,464 ","4,284,937 ",雲嘉南國家風景區管理處
"國家級風景特定區
National Scenic Areas","    七股鹽業遊憩區
    Qigu Salt Culture Recreation Area","臺南市
Tainan City","37,491 ","57,418 ","23,776 ","25,697 ","20,969 ","13,394 ","11,871 ","18,538 ","12,878 ","13,849 ","15,778 ","21,879 ","273,538 ",雲嘉南國家風景區管理處
"國家級風景特定區
National Scenic Areas","    北門鹽業遊憩區
    Beimen Salt Culture Recreation Area","臺南市
Tainan City","268,873 ","507,225 ","282,826 ","223,311 ","304,133 ","155,197 ","147,088 ","89,904 ","150,376 ","204,545 ","142,488 ","114,035 ","2,590,001 ",雲嘉南國家風景區管理處
"國家級風景特定區
National Scenic Areas","    馬沙溝濱海遊憩區
    Mashagou Coastal Recreation Area","臺南市
Tainan City",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,雲嘉南國家風景區管理處
"國家級風景特定區
National Scenic Areas","阿里山國家風景區
Alishan National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    圓潭生態園區
    Yuantan Ecological Park","嘉義縣
Chiayi County","21,609 ","20,925 ","24,754 ","21,623 ","19,412 ","9,289 ","6,664 ","3,087 ","4,403 ","2,098 ","2,990 ","24,772 ","161,626 ",阿里山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    達娜伊谷
    Danayigu","嘉義縣
Chiayi County","3,032 ","4,956 ","5,766 ","6,888 ","6,994 ","7,102 ","4,576 ","1,276 ","3,689 ","4,105 ","4,426 ","3,989 ","56,799 ",阿里山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    觸口遊客中心
    Chukou Visitor Center","嘉義縣
Chiayi County","3,620 ","3,839 ","3,616 ","3,708 ","4,070 ","5,252 ","5,006 ","4,946 ","4,490 ","3,606 ","4,037 ","3,411 ","49,601 ",阿里山國家風景區管理處
"國家級風景特定區
National Scenic Areas","    梅山太平雲梯
    Taiping suspension bridge","嘉義縣
Chiayi County","24,249 ","38,537 ","23,325 ","19,354 ","16,533 ","17,804 ","15,440 ","18,152 ","21,046 ","24,302 ","26,181 ","25,420 ","270,343 ",阿里山國家風景區管理處
"國家級風景特定區
National Scenic Areas","日月潭國家風景區
Sun Moon Lake National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    日月潭環潭區
    The Sunmoonlake Scenic Area","南投縣
Nantou County","149,089 ","561,912 ","301,747 ","214,442 ","171,033 ","148,491 ","179,557 ","222,012 ","150,569 ","225,875 ","329,384 ","216,309 ","2,870,420 ",日月潭國家風景區管理處
"國家級風景特定區
National Scenic Areas","    車埕
    Checheng","南投縣
Nantou County","59,950 ","70,754 ","68,517 ","55,351 ","56,386 ","61,438 ","48,465 ","44,671 ","56,062 ","66,409 ","79,109 ","80,976 ","748,088 ",日月潭國家風景區管理處
"國家級風景特定區
National Scenic Areas","西拉雅國家風景區
Siraya National Scenic Area",,,,,,,,,,,,,,,
"國家級風景特定區
National Scenic Areas","    中埔遊客中心
    Zhongpu Visitor Center","嘉義縣
Chiayi County","3,242 ","3,237 ","2,837 ","2,957 ","2,665 ","2,585 ","2,133 ","1,743 ","2,244 ","2,376 ","3,102 ","22,251 ","51,372 ",西拉雅國家風景區管理處
